,Country,GMI_CNTRY,Year,Total population (millions),Continent,Sub-Continent,Military expenditure (Current USD - $ millions),Military expenditure per capita,Military expenditure (Constant USD 2022 - $ millions),Percentage change in military expenditure,Military expenditure as a share of GDP,Military expendenture as a share of government spending,Total of armed forces personnel,Armed forces personnel (% of total labour force)
4184,Lebanon,LBN,2014,6.274342,Asia,Middle East,2270.065959793791,361.8014382693502,1569.6432347176856,15.137320582972503,4.678175228367609,16.369634305474108,80000.0,3.628753151
4185,Gabon,GAB,2014,1.966855,Africa,Sub-Saharan Africa,208.12477333813558,105.81602270535224,197.54288535145656,-29.490846099569,1.1448183962999685,4.819175541630371,6700.0,1.113213848
4186,Hungary,HUN,2014,9.866468,Europe,Central Europe,1209.8018902128802,122.61752536093769,1026.4983025168656,-1.5007377582587522,0.8578096307947514,1.7140479455016906,38500.0,0.854028363
4188,Ireland,IRL,2014,4.65774,Europe,Western Europe,1192.7336912241997,256.0756270689647,1055.4156703040612,-0.3595453324673814,0.45991741350221227,1.226215644820296,9100.0,0.40292265
4190,Ecuador,ECU,2014,15.957994,Americas,South America,2786.519,174.61586963875283,3056.9493540413278,-1.676092132542284,2.739230809376188,5.897769170529346,40750.0,0.578389522
4191,Italy,ITA,2014,60.78914,Europe,Western Europe,27701.03433494218,455.6905120707774,24885.328085218352,-7.684390703346001,1.282969654276721,2.522775411569249,356850.0,1.389069191
4192,Nigeria,NGA,2014,179.379016,Africa,Sub-Saharan Africa,2357.6712192906225,13.143517407245797,2551.358324930881,-9.07408110680511,0.41471877658650874,3.1028480644914955,162000.0,0.272131483
4193,Japan,JPN,2014,127.276,Asia,East Asia,46903.466612518736,368.5177614987801,39699.94812767535,1.0706024670908088,0.9578009221468083,2.49499036483098,259800.0,0.393792228
4194,Germany,DEU,2014,80.9825,Europe,Western Europe,44662.83116768364,551.5121312343239,41328.98325966941,0.11848530145930347,1.1499419969051354,2.5956287106573934,178600.0,0.420647132
4196,Botswana,BWA,2014,2.260376,Africa,Sub-Saharan Africa,346.2813216603379,153.19633621147008,356.2831571192143,15.675054149023438,2.211997144490134,6.147160034807373,10500.0,1.155290902
4197,Greece,GRC,2014,10.892413,Europe,Western Europe,5531.285908879658,507.8108871633547,4777.771687680067,-0.81505040561759,2.3522876675733646,4.636815588402123,146950.0,3.071106727
4198,Poland,POL,2014,38.011735,Europe,Central Europe,10345.153574872198,272.1568372207214,9520.93682434201,11.25511915777837,1.9190367598285734,4.472499396982721,172700.0,0.938945848
